1;Cveta;Lolic;476986901;5/2/1970 12:00:00 AM;815731;f;cveta@gmail.com;cvetaLolic;pass;Director
2;Mina;Savic;476986901;5/3/1970 12:00:00 AM;8131;f;mina@gmail.com;minaSavic;pass;Secretary
3;Lola;Potic;476986901;5/3/1970 12:00:00 AM;8131;f;lola@gmail.com;lolaPotic;pass;Doctor
4;Nena;Savic;476986901;5/3/1970 12:00:00 AM;8131;f;nena@gmail.com;nenaSavic;pass;Patient
5;Ana;Potic;061778999;5/3/1970 12:00:00 AM;8131;f;ana@gmail.com;anaPotic;pass;Doctor
6;Miodrag;Potic;062006778;5/3/1970 12:00:00 AM;8131;m;miodrag@gmail.com;miodrag;pass;Doctor
7;Suzana;Potic;061336778;5/3/1970 12:00:00 AM;8131;f;suza@gmail.com;suzana;pass;Doctor
8;Dragan;Stankovic;064332667;5/3/1970 12:00:00 AM;8131;m;dragan@gmail.com;dragan;pass;Doctor
9;Tamara;Kutlesic;067443221;5/3/1970 12:00:00 AM;8131;f;taca@gmail.com;taca;pass;Doctor
10;Milica;Stojanovic;066556665;5/3/1970 12:00:00 AM;8131;f;mica@gmail.com;micaSavic;pass;Patient
11;Teodora;Stojadinovic;069007998;5/3/1970 12:00:00 AM;8131;f;tea@gmail.com;teaS;pass;Patient
12;Nadja;Petrovic;069554332;5/3/1970 12:00:00 AM;8131;f;nadja@gmail.com;nadja;pass;Patient
13;Jovana;Savic;069998880;5/3/1970 12:00:00 AM;8131;f;jolo@gmail.com;jovana;pass;Patient
